post_id,post_name,post_author,post_date,post_type,post_status,item_id,post_title,post_content,post_category,post_tags,hao_yuanj,hao_youh,hao_xianj,hao_xiaol,hao_zongl,hao_zhutu,hao_ljgm,hao_leix,kouling,
,,,,post,publish,22402756846,四明山天然野生桃胶桃花泪农家可搭皂角米银耳莲子 买2送1 不封顶,满10元减5元,美食,auto,12.80,5,7.8,23,10000,http://img.alicdn.com/bao/uploaded/i4/43019686/TB2nSbasbJkpuFjy1zcXXa5FFXa_!!43019686.jpg,https://uland.taobao.com/coupon/edetail?e=NBMYRQjyR08N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FcugCWc2mbLb4EZmIsQZZNx0HgBdG%2FDDL%2F1M%2FBw7Sf%2FekwbbsR2qa%2BAElyJE4%2FnBLlkC8Xbf0Sc9UxOp2y8yK%2B%2F22v9zKttkp&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,538158504458,欧洲进口如胜糖果100g牛奶硬糖婚庆散装喜糖批发办公室休闲小零食,满15元减10元,美食,auto,15.90,10,5.9,825,10000,http://img.alicdn.com/bao/uploaded/i2/TB1hFPkQFXXXXaeXVXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=wyxqxbZ2X%2F4N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F8k9oiEfxcLr%2Blvy9UKzEFxpywujSvOp2nUIklpPPqYIWfm4ur7OaSnpDA7HO9unPtZXiHxp4CWAkHsS4JoiwBkxgZ2NgurUZ&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,525463670474,奥宇5斤太空玩具沙子套装儿童魔力安全无毒男女孩粘土橡皮泥批发,满24元减3元,母婴,auto,24.90,3,21.9,53285,10000,http://img.alicdn.com/bao/uploaded/i2/TB1WPQsSXXXXXaOapXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=Y7tZWCeVObwN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FdlyP6vB7pCmh60etKuAlMRpywujSvOp2nUIklpPPqYJqqu%2BZNX6DrVgXnoJdG4XfgsyeJnpo6HKRHjTzo5N7svzzkGK%2Fkx%2Bl&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,555100471973,新品特惠 高颜值! 粉色限量变色唇膏,满220元减200元,居家,auto,239.90,200,39.9,260,10000,http://img.alicdn.com/bao/uploaded/i1/3321919676/TB2VUn7wgJkpuFjSszcXXXfsFXa_!!3321919676.jpg,https://uland.taobao.com/coupon/edetail?e=F4zv8CW%2FpIsN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FSCqvzpa2NAxUglqEerOWkBpywujSvOp2nUIklpPPqYLEs6ymXny2%2B%2F8JAKAn1JhMSWHMvhv2cxmQqIFQU8%2Fyzurn0aNi2OV3&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,548276994732,2017夏季中国风男士短袖T恤民族风修身圆领刺绣龙袍半袖社会男装,满60元减50元,男装,auto,89.00,50,39,398,8899,http://img.alicdn.com/bao/uploaded/i1/TB1MYeWQVXXXXacXpXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=hWByN%2BBRbUIN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FD8kopqn%2BEK92YGc7q%2BhiXhpywujSvOp2nUIklpPPqYJL9iivhRv8XXEAH5OszL7BxFEZQLDh1Zdena8f02mEAkbpy02qDTzs&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,548872972672,2017夏季宽松圆领短袖t恤男纯色中国风亚麻口袋麻料T恤男装学生潮,满79元减50元,男装,auto,79.00,50,29,125,2000,http://img.alicdn.com/bao/uploaded/i4/TB1G7E_QVXXXXclXpXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=gduwcEhae1sN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FTyIH21IJMD4CkS%2BoOOZF7RpywujSvOp2nUIklpPPqYLSO%2FeUbi033S8fUwTocmbxykTzSu58%2FpUr135TRQntO8q0nP4Zye36&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,539451829271,fanbiya D1入耳式运动耳机电脑手机通用耳塞式耳麦苹果重低音魔音,满29元减20元,数码家电,auto,29.90,20,9.9,33757,10000,http://img.alicdn.com/bao/uploaded/i4/TB1mYeeRXXXXXX1apXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=Lhr%2F%2Bg7mzPgN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FhBPldBTL5dGQOc%2FyPqb4DxpywujSvOp2nUIklpPPqYKSqs05PlgJe5vQlqkMEK41zNclKu3ypeXqIws3JyoNNPD%2Be%2FWHMbSR&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,540957261668,韩国爱丽小屋四色眼影盘渐变哑光珠光大地色裸妆持久包邮正品,满52元减30元,化妆品,auto,52.00,30,22,464,30000,http://img.alicdn.com/bao/uploaded/i4/TB1XOSYOVXXXXXyXXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=YPU2Z%2BKhEr4N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FevN%2BhDSowQj4k2V%2B5EiK%2FhpywujSvOp2nUIklpPPqYIHT9g6I8fnglHx3SJXYN14X9k7e9137Is6N8It7SaMufCYetFwSz2H&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,551784318444,亨奇璞竹抽纸母婴纸巾竹浆本色纸不漂白卫生纸家庭装餐巾纸100抽,满21元减20元,化妆品,auto,46.90,20,26.9,40414,70000,http://img.alicdn.com/bao/uploaded/i3/TB1vlUrSXXXXXX9XVXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=arGftDtdq7MN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F7C%2Bmd35iIoNIolt3LROP6BpywujSvOp2nUIklpPPqYIhPPiNiuinZEXZwm7nkqFe3KjwItEwaZe0lxhIMTHEz0YiuAfjoi8S&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,547941030789,夏装新款韩版百搭简约纯色无袖背心上衣女学生宽松显瘦百搭t恤潮,满5元减3元,女装,auto,16.80,3,13.8,10160,100000,http://img.alicdn.com/bao/uploaded/i1/1670163060/TB2YxjamohnpuFjSZFEXXX0PFXa_!!1670163060.jpg,https://uland.taobao.com/coupon/edetail?e=jRdUy61RDEIN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FQmkzivgDLL8JWvbWz4VHOhpywujSvOp2nUIklpPPqYKtiuPgUuwn36Yw9xwLNDqI7WiLp1qbYKSg%2BS2TKcYN11lIE6MNhByU&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,549978691016,南极人湿巾婴儿手口湿巾新生儿宝宝湿纸巾30抽8包组,满29元减10元,母婴,auto,29.90,10,19.9,4670,15000,http://img.alicdn.com/bao/uploaded/i2/TB113vVRVXXXXaXXXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=FAo82q%2BOe%2FEN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FPq%2FrNa6diLVnxlMlAHf3TxpywujSvOp2nUIklpPPqYLx7bBDedNWnsZEt1us%2BMcKPJn23w36PvJPs%2FBYRqBhXZVOQ5O80eXS&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,550999783360,韩版新款透明包包大单肩包手提镭射炫七彩moon包女沙滩水晶果冻包,满18元减3元,箱包配饰,auto,18.90,3,15.9,1133,50000,http://img.alicdn.com/bao/uploaded/i1/2122566677/TB2AaFfsJFopuFjSZFHXXbSlXXa_!!2122566677.jpg,https://uland.taobao.com/coupon/edetail?e=I4ofiA45YEIN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2Fni0JGUzFr7KlAQ2L26ccWBpywujSvOp2nUIklpPPqYJdceMJOImaISUmTJBnIxFjnxZcWCicBwUR82x7TqcPfP2PkzhQE5Nd&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,546516605589,家用静音迷你踏步机瘦腰机瘦腿减肥健身器材多功能扶手登山脚踏机,满90元减30元,户外运动,auto,98.00,30,68,260,10000,http://img.alicdn.com/bao/uploaded/i4/TB1o3FpRXXXXXcaaXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=Olm2t97XxIwN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F3cWLOKlYPByB%2FJd2O1PXMBpywujSvOp2nUIklpPPqYLNjLksKXxWHpxxlDw4WtuELeR%2Fspu6sbfSGlgV%2BijepdNOJJ37swgv&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,530750241532,千奇坊儿童背包水枪戏水漂流沙滩抽拉式大容量高压气压力玩具水枪,满12元减3元,母婴,auto,12.80,3,9.8,15755,20000,http://img.alicdn.com/bao/uploaded/i3/TB1s_JqRFXXXXbyaFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=0Ned6dNj%2FksN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2Fi3%2BwfcWX4dFAjUyYvk5%2BoxpywujSvOp2nUIklpPPqYL7mx39ZLw7w%2BH15o30drlqPI8SCrkHy%2BwdFUvOEcgaoJtC091o79HB&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,554154202563,乐彼台式折叠化妆镜大号梳妆便携可爱迷你随身小镜子宿舍桌面翻盖,满9元减3元,居家,auto,9.80,3,6.8,2521,20000,http://img.alicdn.com/bao/uploaded/i1/TB1zjQGRVXXXXX5XVXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=5hXL%2FNvYeZcN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2Fw1rUSYjbVR7ojaySIcDqlRpywujSvOp2nUIklpPPqYL%2FTbaEaIKtPORZMLo7BSwpCxlrDd%2BFK9b1SwEJYI3gqpq%2F8dKJcU4z&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,542344067409,【拍下减20】蜜之源天然纯农家自产野生土蜂蜜无添加百花蜂蜜280g,满39元减30元,美食,auto,39.90,30,9.9,9770,40000,http://img.alicdn.com/bao/uploaded/i3/TB1TFUjSXXXXXXAXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=0GO5g0ORofMN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FXdUeb5R93zU0TsAZ0afFpBpywujSvOp2nUIklpPPqYIGueg6iDfRg7fzHZNnpO4id5IDpeaI4bXy6vXWKnpVSXh3IsQWMXRB&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,546041658768,英尚双色气垫眉膏 立体防水防汗持久不易脱色不晕染眉膏,满39元减30元,化妆品,auto,39.90,30,9.9,3021,30000,http://img.alicdn.com/bao/uploaded/i1/TB1zkm8QVXXXXbdXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=J5f6ugJNgncN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F5J2vVAfilqyi5jPyvr7cfRpywujSvOp2nUIklpPPqYJRylclMdNRjn4sWvP%2FfSFyQBiaxVEofxAwWTyWR%2FgAujIMiBLISNqZ&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,531551443336,金稻护眼仪眼部按摩器去眼袋黑眼圈按摩仪眼睛按摩棒美眼仪眼保笔,满39元减15元,居家,auto,39.00,15,24,622,10000,http://img.alicdn.com/bao/uploaded/i2/TB1KdafNFXXXXbaXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=BtOH0NF%2BkXIN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FSWtSWtvEYl%2Fkscp9RModlxpywujSvOp2nUIklpPPqYI%2FVKyWkSOyalNFkG%2BG1npmuBLjzxhJ1RTgTkNeC7rtHzYuVbopZKMp&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,554829093277,2017夏季新款韩版女装内搭字母肩带吊带短款紧身打底衫吊带背心,满10元减5元,女装,auto,24.00,5,19,25,10000,http://img.alicdn.com/bao/uploaded/i4/422259327/TB2x8DAvW8lpuFjy0FpXXaGrpXa_!!422259327.jpg,https://uland.taobao.com/coupon/edetail?e=Njgc%2BKNOjwgN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FMFKqqAGNc8ppwRlyDVXvPRpywujSvOp2nUIklpPPqYLaZu6cnjIEZgCJIfTIX3dBL480au0BB327FdtmiZ7kX4Z95LPRAXak&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,549611931328,九美子正品专柜夏季防晒美白隔离霜女学生遮瑕补水保湿妆前隔离乳,满54元减40元,化妆品,auto,59.00,40,19,596,3000,http://img.alicdn.com/bao/uploaded/i1/TB1cteqSXXXXXcnXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=kMexrotVyikN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FW%2BytoIbqX%2FPUzBF%2B4sIdcxpywujSvOp2nUIklpPPqYJe%2FDrQsMagE12bX8P%2FNqzvHQg1mcnE95mfTLK2jIE8fTJJp6rlAGfC&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,551002946826,喜曼多钓鱼伞2.2米万向防雨户外钓伞2.4米鱼伞黑胶防晒遮阳垂钓伞,满60元减10元,户外运动,auto,115.00,10,105,548,10000,http://img.alicdn.com/bao/uploaded/i3/TB1oY4nRpXXXXbPXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=qTzPYKv2WuYN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FVDLQJ%2BSH8FCy814qX%2B8JhBpywujSvOp2nUIklpPPqYJvisJtLgzaeskEdUdcGKyX2ThqsEDP7WGt%2Bg7FCP%2F5NWZrvBf5aCnx&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,550963462979,晨光燕尾夹彩色长尾夹凤尾铁票夹文具文件夹小夹子书大号办公用品,满6元减1元,数码家电,auto,6.80,1,5.8,234,10000,http://img.alicdn.com/bao/uploaded/i4/TB1h1nsRXXXXXXYXVXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=KjammgIXpqkN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2Fnku9BUdWhgWwYknoESs9PBpywujSvOp2nUIklpPPqYKo7uF4GP7ngkTPKB%2F3QTjgDYl6H8QaVqMvOKMrPi5CwwNivpegiskY&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,548656821775,牛仔短裤女夏百搭背带阔腿短裤2017新款韩版宽松学生高腰女装春夏,满39元减10元,女装,auto,39.00,10,29,4567,30000,http://img.alicdn.com/bao/uploaded/i1/TB1z4E0QFXXXXbxXpXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=SM%2FbwY2PuRQN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FAH587AYK9uOfnZNo81bQ5BpywujSvOp2nUIklpPPqYJb2a38wyCK9vNFVNM%2BZ7DkYCvz173Eyoz9ldHNj9OdTcpj0%2BHVP91Z&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,553641742071,许愿汽车遮阳帘车内车窗遮阳防晒隔热挡卡通儿童侧窗遮阳板遮阳挡,满19元减10元,汽车用品,auto,19.90,10,9.9,3727,50000,http://img.alicdn.com/bao/uploaded/i2/TB1sZQ0SXXXXXXfXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=40hGOHNPEn4N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FGVwlaDvzpS1OQDAuPt1YwBpywujSvOp2nUIklpPPqYI%2FozaoTlHfMp8%2FfVe1265l8ujQMzsc%2BEofBjBO9S4NSIlmxDE0VJk%2B&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,45762328492,前开扣喂奶睡眠背心式孕妇内衣胸罩哺乳文胸无钢圈聚拢防下垂大码,满20元减5元,母婴,auto,22.80,5,17.8,232,10000,http://img.alicdn.com/bao/uploaded/i4/TB1fHmtOXXXXXcHXVXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=IfbQ1gu7Ai0N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FD3SjEM5OV4uB2Yv9sq33KB0HgBdG%2FDDL%2F1M%2FBw7Sf%2Ff0oqyJeT%2FyeDfBb9rf3LOzoheod7RRhEcvAhht5%2FL8WV3wkiFRrdfO&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,8062523694,儿童泳裤男童 宝宝泳裤可爱泳裤 青少年中大童平角温泉泳衣游泳裤,满5元减3元,户外运动,auto,29.00,3,26,254,100000,http://img.alicdn.com/bao/uploaded/i2/TB1TlxmKVXXXXb1XXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=trXZ6fEToNkN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FlIGrHkS7NWhmgYYOaBvJOmS4ihT3PrBb19fIGjTfiD4iU6QNVF0ffXUlD9mZTxwmJd%2Bgga4rny%2BuJw4m9l8nS7TFEEJnFwTG&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,45299056077,依奈 纯棉压缩面膜100粒 面贴式纸膜 diy面膜纸 补水吸水服贴性好,满29元减15元,化妆品,auto,28.00,15,13,674,10000,http://img.alicdn.com/bao/uploaded/i3/TB1WPAUSXXXXXXvapXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=yZ0rt1E6uLQN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FDADS2hythM%2Fzh37HucPZlB0HgBdG%2FDDL%2F1M%2FBw7Sf%2FdQLBu7Flhg2zHscMOj7lWZDNQtIwCO%2FHyqBbfVqtViC%2BaCyEHQFuPt&pid=mm_14661123_33544947_119412095&af=1,天猫,,
